дхритараштрах увача  Z царь Дхритараштра сказал
 ачалам  Z неподвижно
 стхирах  Z устойчивый
 сампрекшйа  Z устремив взгляд
 насика  Z носа
 аграм  Z на кончик
 свам  Z свой
 дишах  Z по сторонам
 ча  Z также
 анавалокайан  Z не глядящий
 прашанта  Z спокойный
 атма  Z тот, чей ум
 вигата-бхих  Z лишенный страха
 брахмачари-врате  Z в обете безбрачия
 стхитах  Z пребывающий
 манах  Z ум
 самйамйа  Z  обуздав
 мат  Z (сосредоточен) на Мне (Кришне)
 читтах  Z тот, чей ум
 йуктах  Z истинный йог
 асита  Z пусть сидит
 мат  Z Я
 парах  Z тот, чья высшая цель
йунджан  Z занимающий
 эвам  Z так (как описано выше)
 сада  Z  постоянно
 атманам  Z тело, ум и душу
 йоги  Z йог-мистик
